"","carat","cut","color","clarity","depth","table","price","x","y","z"
"52785",0.58,"Ideal","F","VVS2",62.2,56,2567,5.32,5.36,3.32
"50259",0.56,"Very Good","F","VVS2",59.5,61,2236,5.36,5.33,3.18
"22397",1.32,"Premium","F","VS2",60.9,59,10423,7.12,7.06,4.32
"21453",1.49,"Very Good","H","VS2",62.7,60,9552,7.24,7.31,4.56
"15345",1.01,"Premium","F","VS2",60.7,60,6159,6.51,6.58,3.97
"51942",0.7,"Good","F","VS1",64,57,2441,5.62,5.54,3.57
"41957",0.23,"Very Good","E","VVS2",61.2,60,505,3.97,4,2.44
"16529",1.26,"Ideal","G","VS1",62.3,57,6604,6.93,6.87,4.3
"8806",1.01,"Very Good","I","SI1",64.2,55,4475,6.28,6.34,4.05
"6280",0.9,"Good","F","SI1",59.3,56,4016,6.27,6.32,3.73
"1430",0.9,"Very Good","J","SI2",63.3,59,2973,6.08,6.12,3.86
"5437",1.05,"Premium","G","SI2",60.1,60,3828,6.58,6.66,3.98
"47770",0.7,"Very Good","E","SI2",63.5,59,1894,5.63,5.51,3.53
"26216",1.56,"Ideal","G","VVS2",62.5,55,15609,7.39,7.45,4.64
"18020",1.01,"Ideal","G","VS1",61.2,57,7290,6.42,6.47,3.95
"9791",1.01,"Premium","E","SI2",61.5,58,4666,6.4,6.43,3.95
"31648",0.37,"Ideal","J","SI1",62.2,53,451,4.63,4.67,2.89
"24955",1.68,"Ideal","H","VS2",61.3,56,13427,7.77,7.67,4.73
"33836",0.34,"Ideal","G","VVS1",60.5,55,844,4.53,4.56,2.75
"52115",0.72,"Very Good","H","VS2",61.4,57,2462,5.75,5.79,3.54
"39112",0.41,"Premium","G","VS2",59.9,59,1061,4.86,4.82,2.9
"4551",0.91,"Ideal","F","SI2",62.7,57,3642,6.16,6.21,3.88
"42221",0.42,"Ideal","G","IF",62.2,54,1289,4.81,4.84,3
"21428",1.5,"Ideal","I","VS1",60.5,56,9533,7.38,7.46,4.49
"12959",1.21,"Ideal","I","VS2",62.3,58,5387,6.79,6.75,4.22
"8881",1.02,"Ideal","J","VS2",62,56,4485,6.42,6.45,3.99
"1773",0.82,"Very Good","F","SI1",63.9,56.9,3048,5.85,5.92,3.76
"15386",0.29,"Very Good","G","VVS1",61.6,56,607,4.24,4.27,2.62
"48281",0.53,"Ideal","D","VS2",61.2,56,1956,5.23,5.2,3.19
"2110",1.08,"Premium","H","I1",61.7,59,3118,6.54,6.59,4.05
"24384",0.3,"Very Good","G","VVS2",62.9,55,638,4.28,4.31,2.7
"39927",0.42,"Ideal","E","VS1",61.6,57,1105,4.8,4.84,2.97
"53647",0.71,"Ideal","E","SI1",61.7,56,2704,5.72,5.69,3.52
"9887",0.95,"Premium","F","SI1",62.3,60,4682,6.3,6.26,3.91
"3355",0.71,"Premium","E","VVS2",59,59,3380,5.88,5.82,3.45
"12832",1,"Very Good","E","SI1",61.2,60,5351,6.39,6.42,3.92
"52932",0.72,"Ideal","I","VVS2",61.3,56,2591,5.77,5.8,3.55
"290",0.71,"Premium","D","SI1",61.3,58,2797,5.73,5.75,3.52
"22115",1.11,"Very Good","F","VVS1",59.7,55,10141,6.77,6.82,4.06
