"","carat","cut","color","clarity","depth","table","price","x","y","z"
"20923",1.05,"Ideal","F","VVS2",61.5,57,9138,6.51,6.57,4.02
"27389",0.41,"Premium","J","VS1",62.1,58,647,4.75,4.79,2.96
"11153",1.01,"Premium","H","SI1",61.8,60,4943,6.44,6.38,3.96
"19098",1.51,"Premium","H","SI2",60.4,59,7864,7.3,7.27,4.4
"4839",0.9,"Very Good","I","VS2",63,60,3709,6.15,6.17,3.88
"44920",0.53,"Ideal","D","SI1",61.7,56,1631,5.15,5.23,3.2
"31747",0.4,"Very Good","D","SI1",61.4,56,772,4.72,4.83,2.93
"29494",0.32,"Ideal","E","VS2",61.6,55,702,4.41,4.42,2.72
"45122",0.52,"Premium","F","VS2",58.5,60,1651,5.29,5.24,3.08
"19311",1.54,"Premium","E","SI2",59,62,8020,7.59,7.56,4.47
"30713",0.33,"Ideal","E","VS2",60.5,55,738,4.52,4.56,2.74
"29082",0.36,"Ideal","H","VVS2",61.4,55,689,4.57,4.6,2.82
"50972",0.31,"Good","E","SI1",63.4,57,544,4.31,4.33,2.74
"38752",0.35,"Premium","G","IF",60.6,60,1044,4.54,4.57,2.76
"47463",0.55,"Ideal","F","VS1",61,55,1857,5.29,5.33,3.24
"36395",0.4,"Ideal","G","SI1",61.5,57,942,4.74,4.76,2.92
"21703",0.35,"Ideal","I","VVS1",61.8,55,627,4.53,4.56,2.81
"7062",0.33,"Premium","I","VVS2",61,59,579,4.41,4.44,2.7
"31044",0.33,"Ideal","F","VVS2",62.4,55,750,4.43,4.45,2.77
"30834",0.33,"Premium","H","VS1",59.7,59,743,4.53,4.52,2.7
"41439",0.48,"Good","G","VS1",58.2,59.2,1228,5.09,5.14,2.98
"40559",0.41,"Very Good","G","VVS1",60,59,1151,4.83,4.84,2.9
"7119",1.01,"Good","E","SI2",57.5,63,4171,6.56,6.58,3.78
"32530",0.35,"Very Good","G","VVS2",62.8,58,798,4.44,4.48,2.8
"6860",1.05,"Ideal","J","SI2",62.3,54,4126,6.52,6.55,4.07
"50438",0.72,"Premium","I","SI1",61.5,59,2262,5.78,5.73,3.54
"6554",1.01,"Premium","I","SI1",58.6,62,4072,6.51,6.45,3.8
"34475",0.38,"Ideal","E","VS2",61.7,55,866,4.66,4.68,2.88
"50903",0.65,"Very Good","H","VVS1",61.6,58,2318,5.57,5.62,3.42
"45187",0.51,"Ideal","G","VS1",62.2,55,1656,5.11,5.14,3.19
"22068",1.56,"Premium","E","SI2",62.4,60,10090,7.41,7.36,4.61
"43698",0.5,"Good","F","VS2",63.6,57,1436,5.03,5.07,3.21
"4064",0.31,"Good","D","SI1",63.5,57,571,4.28,4.32,2.73
"52877",0.82,"Very Good","I","VS1",63.6,58.9,2583,5.88,5.93,3.76
"51775",0.72,"Ideal","H","SI2",61.3,55,2410,5.78,5.81,3.55
"36192",0.4,"Ideal","G","VVS2",61.9,55,931,4.72,4.75,2.93
"49187",0.51,"Ideal","E","VS1",62.8,57,2075,5.1,5.07,3.2
"21731",1.03,"Ideal","D","VVS2",62,56,9798,6.46,6.55,4.03
"11009",1.1,"Premium","H","SI1",63,58,4916,6.6,6.55,4.14
"41480",0.56,"Very Good","J","VS2",60.6,57,1232,5.35,5.38,3.25
"2845",0.56,"Ideal","D","VVS1",61.8,56,3270,5.28,5.31,3.27
"26368",0.32,"Good","H","VVS2",63.4,56,645,4.34,4.37,2.76
"49281",0.6,"Ideal","G","VS1",61.3,60,2091,5.39,5.41,3.31
"40209",0.31,"Ideal","F","IF",62.3,57,1122,4.34,4.3,2.69
"12197",1.08,"Ideal","E","SI1",62.6,57,5189,6.56,6.53,4.1
"12380",0.39,"Very Good","G","SI2",63.2,57,597,4.65,4.57,2.92
"45746",0.52,"Ideal","D","VS2",62,53,1701,5.17,5.21,3.22
"4160",1.09,"Ideal","G","I1",61,56,3549,6.62,6.66,4.05
"30615",0.34,"Very Good","F","SI2",61.7,61,447,4.44,4.48,2.75
"8040",1.01,"Ideal","I","SI2",62.5,57,4336,6.38,6.45,4.01
"18764",1,"Good","D","VS1",62.7,62,7672,6.21,6.23,3.9
"33055",0.3,"Ideal","F","VVS1",61.9,58,814,4.26,4.3,2.65
"1875",0.79,"Very Good","F","SI1",58.5,61,3073,6.03,6.08,3.54
"3429",0.71,"Premium","H","IF",60.2,61,3384,5.8,5.76,3.48
"38268",0.26,"Very Good","E","SI1",62,54,384,4.08,4.11,2.54
"11491",1.13,"Very Good","F","SI1",61.2,59,5017,6.72,6.75,4.12
"30527",0.44,"Ideal","H","SI1",61.9,57,733,4.9,4.92,3.04
"53115",0.78,"Ideal","H","SI1",61.1,57,2616,5.9,5.94,3.62
"40117",0.41,"Ideal","F","VVS2",61.7,57,1115,4.73,4.8,2.94
"46207",0.51,"Ideal","G","VVS2",62,57,1750,5.1,5.13,3.17
"50653",0.31,"Premium","H","VS1",62.4,58,544,4.32,4.36,2.71
"40980",0.41,"Premium","D","VVS2",62.2,58,1181,4.8,4.78,2.98
"41539",0.42,"Ideal","D","VS1",61.5,54,1235,4.84,4.79,2.96
"6580",0.9,"Good","D","SI2",64,59,4078,6.04,6.09,3.88
